vedpos;name;place;kolvo;placepriority;
119;Компьютер, Системный блок, HP ProDesk 600 G1 TWR Core i5-4570, 4 Gb, 500 Gb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
120;Компьютер, системный блок, Lenovo IdeaCentre 90hx001brs Без предустановленного ПО,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
121;Лестница хозяйственная, стремянка, алюминевая, L=1,24м,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
122;Молоток, дерево квадратный боек, 0,400кг,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
123;"Монитор, Samsung 22""";Управление Офис 1 (Земляной вал, 61 стр. 2);31;1;
124;"Монитор, Samsung 23.6""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
125;"Монитор, Samsung 23""";Управление Офис 1 (Земляной вал, 61 стр. 2);8;1;
126;"Монитор, Samsung E2220N 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);6;1;
127;"Монитор, Samsung S22B300B 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
128;"Монитор, Samsung S22C450B 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
129;"Монитор, Samsung S22D300HY 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
130;"Монитор, Samsung S22E200NY 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);5;1;
131;"Монитор, Samsung S22E450B 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
132;"Монитор, Samsung S24D300H 24""";Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
133;"Монитор, Samsung S24E390HL 23.6""";Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
134;"Монитор, Samsung S24F350FHI 23.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
135;"Монитор(8528521000), Dell 23""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
136;"Монитор(8528521000), Dell 24""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
137;"Монитор(8528521000), HP 24""";Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
138;"Монитор(8528521000), HP E241i 24""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
139;"Монитор(8528521000), Philips 27""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
140;"Монитор(8528521000), Samsung S23E200B 23""";Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
141;"Монитор(8528521000), Samsung S24F350FHI 23.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
142;"Монитор(8528599009), Dell E2218HN 21.5""";Управление Офис 1 (Земляной вал, 61 стр. 2);6;1;
143;"Монитор(8528599009), Dell E2418HN 23.8""";Управление Офис 1 (Земляной вал, 61 стр. 2);5;1;
144;"Монитор(8528599009), Dell SE2416H 23.8""";Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
145;МФУ (принтер, копир, факс), Canon i-SENSYS MF416dw,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
146;МФУ (принтер, копир, факс), HP LaserJet M1536 , принтер+сканер+копир А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
147;МФУ (принтер, копир, факс), HP LaserJet Pro 400 M425dn,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
148;МФУ (принтер, копир, факс), HP LaserJet Pro M225 (CF485A), А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
149;МФУ (принтер, копир, факс), HP LaserJet Pro M426fdn, А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);5;1;
150;МФУ (принтер, копир, факс), HP LaserJet Pro M428dw,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
