123;1;2;9;20;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;HP Compaq 6200 Pro Microtower;RUA21001ZV
124;1;2;9;20;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;HP Compaq 6200 Pro Microtower;RUA24807FG
125;1;1;11;12;Не в учете;Samsung S20C200B;3121HLPCB00207L
126;1;2;8;18;Компьютер, системный блок, Lenovo IdeaCentre 90hx001brs Без предустановленного ПО,;Lenovo Ideacentre 310S-08IGM 90HX001URS;R305VHB2
127;1;27;9;20;Не в учете;Panasonic KX-T2365;7GATB367289
128;1;1;2;14;Не в учете;HP Pavilion 22xi 21.5 IPS LED;3CM4060CJQ
129;1;9;9;20;Не в учете;HP Essential 630 B7B23EA;5CB2261N28
130;1;27;9;20;Не в учете;Panasonic KX-T2365;0HALB125128
131;1;1;6;11;"Монитор, Samsung E2220N 21.5""";Samsung E2220NW;0515HLPB600450Z
132;1;27;9;20;Телефон стационарный, проводной цифровой Panasonic KX-DT321RU;Panasonic KX-DT321RU;3IATE026997
133;1;2;9;20;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;HP Compaq 6200 Pro Microtower;CZC12357Y0
134;1;27;9;20;Не в учете;Panasonic KX-T2365;41BTA021003
135;1;6;9;20;МФУ (принтер, копир, факс), KYOCERA Ecosys M2540dn,;Kyocera ECOSYS M2540dn;VCG7743457
136;1;2;9;20;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;Compaq 500B MT;RUA0220V3W
137;1;1;9;20;"Монитор, Samsung 22""";Samsung LS22A350H;1397HLPC101712B
138;1;2;9;20;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;Compaq 500B MT;CZC9473MTT
139;1;27;9;20;Не в учете;Panasonic KX-T2365;сер.№ номер стерт
140;1;4;9;20;Не в учете;HP Scanjet G3110;CN03TA50WH
141;1;1;9;20;Не в учете;Samsung 943N;MY19HMDS702436P
142;1;7;5;15;Принтер, HP, LaserJet Enterprise M601dn;HP LJ Enterprise 600 M601dn (CE990A);CDNVH141HM
143;2;7;5;9;Принтер лазерный НР3005NA4;HP LJ P3005DN (Q7815A);CNS2P47768 (4534)
144;1;27;9;20;Не в учете;Panasonic KX-TS388RUW;1LAKD014375
145;1;2;9;20;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;HP Compaq 6200 Pro Microtower;RUA230014Y
146;1;1;7;13;"Монитор(8528521000), Samsung S23E200B 23""";Samsung S23C200B;3122HLND700603M
147;1;27;9;20;Не в учете;Panasonic KX-FT31RS Fax;0ECRB017909
148;1;2;9;20;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;HP PRO 3500 Series MT;RUA33501NW
149;1;4;9;20;Не в учете;HP Scanjet G3110;CN03TA50TH
150;1;6;11;4;Не в учете;Xerox WorkCentre 415;ZZE-3502810137
151;1;1;11;16;"Монитор, Samsung S22E200NY 21.5""";Samsung S22E200NY;0AZVHLLHB01302R
152;1;2;9;20;Компьютер, персональный компьютер, HP 400 G3PD MT i56500 Dos,;HP ProDesk 400 G3 MT Business PC;CZC64372GT
153;1;27;9;20;Телефон стационарный, аппарат телефонный Panasonic KX-TS2352RU;Panasonic KX-TS2352RUB;8AAKF180022
154;1;8;9;20;ИБП, APC, Back-UPS Pro 900,;APC BR900GI;3B1326X08085
155;1;1;10;9;Не в учете;Samsung 943NW;MY19H9FSA44599L
156;1;2;9;20;Компьютер, персональный компьютер, HP 6300 i3-3220 Windows 7,;HP Compaq Pro 6300 Microtower;RUA24809GJ
157;1;7;4;13;МФУ (принтер, копир, факс), HP LaserJet Pro 400 M425dn,;HP LaserJet Pro 400 MFP M425dn (CF286A);CND8F4TH15
158;1;1;10;2011;"Монитор, Samsung E2220N 21.5""";Samsung EX2220;1744HLPBA01694R
159;1;2;12;20;Компьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;Vostro 3681;5NQHF73
160;1;27;9;20;Не в учете;Panasonic KX-T2365;6JATB045963
161;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;6ABKA643316
162;1;2;2;21;Компьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;Vostro 3681;GMQHF73
163;1;1;3;10;"Монитор, Samsung 22""";Samsung 2243NW;MY22HLJZ300942K
164;1;27;9;20;Не в учете;Panasonic KX-TS2350RUW;5ABKL642486
165;1;2;9;20;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;HP PRO 3500 Series MT;RUA313044N
166;1;1;7;8;Не в учете;Samsung 943SN;MY19HMGS700446N
167;1;2;9;20;Компьютер, персональный компьютер, HP, Compaq dx2400  Windows 7,;HP Compaq dx2420 Microtower;CZC9430CCR
168;1;1;4;6;Не в учете;Samsung 940N;HA19H9NL402788R
169;1;27;9;20;Не в учете;Panasonic KX-TS2388RUW;2ABKD015862
170;1;2;9;20;Компьютер, персональный компьютер, HP, Compaq dx2400  Windows 7,;HP Compaq dx2400 Microtower;CZC8404132
171;1;4;9;20;Не в учете;HP Scanjet G3110;CN01BA52W3
172;1;1;7;8;Не в учете;Samsung 943N;MY19HMBQ719572B
173;1;7;8;12;МФУ (принтер, копир, факс), HP LaserJet Pro 400 M425dn,;HP LaserJet Pro 400 M401dw CF285A;VNC3M16654
174;1;1;6;21;"Монитор, Samsung 27""";Samsung F27T700QQI;4JC8H9PR100562L
175;1;2;11;17;Компьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;OptiPlex 3050;G2QMCM2
176;1;27;9;20;Не в учете;Panasonic KX-TS2350RUB;1HCKI303119
177;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;0HCKD131159
178;1;2;9;20;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;HP 500B MT;RUA0372YHQ
179;1;4;9;20;Не в учете;Canon ImageFormula P-215;FUA77889
180;1;1;3;19;"Монитор(8528521000), Dell E2218HN 21.5""";Dell E2218HN;7R5D4T2
181;1;1;4;21;"Монитор(8528599009), Dell E2420HS 23.8""";Dell E2420H;2CNK5C3
182;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;0HCKD131074
183;1;4;9;20;Сканер, Canon, CanoScan LiDE 400;Canon CanoScan Lide700F;KDUB50107
184;1;2;12;18;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Vostro 3670;HLDWZS2
185;1;1;11;11;"Монитор, Samsung E2220N 21.5""";Samsung EX2220;1744HLPBB01592E
186;1;1;3;19;"Монитор(8528599009), Dell E2218HN 21.5""";Dell E2218HN;3P2D4T2
187;1;2;9;20;Компьютер, Системный блок, HP 3500 Pro MT Windows 7,;HP PRO 3500 Series MT;RUA313045M
188;1;7;11;18;Принтер, Xerox, Phaser 3260DNI;Xerox Phaser 3260;3363490467
189;1;4;9;20;Сканер, Canon, CanoScan LiDE 400;Canon CanoScan Lide700F;KDUB67089
190;1;27;9;20;Не в учете;Panasonic KX-TS2350RUS;1BAKD044562
191;1;27;9;20;Не в учете;Panasonic KX-TS2361RUW;4CCKA33862*
192;1;1;11;23;"Монитор(8528521000), Samsung S23E200B 23""";Samsung S23C200B;3122HLNDB00198L
